,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
0,AAPL,,320193,,,2018,,265595000000,163756000000,101839000000,0.38343718820007905,14236000000,0,0,16705000000,0,30941000000,194697000000,5686000000.0,3240000000,10903000000,87046000000,0.327739603531693,70898000000,0.26694026619477024,2005000000,72903000000,0.27448935409175623,13372000000,59531000000,0.22414202074587247,3.0025,2.9775,19821508000,20000436000,,,Consumer Electronics,,25913000000.0,40388000000.0,66301000000.0,48995000000.0,3956000000.0,12087000000.0,131339000000.0,41304000000.0,0.0,0.0,0.0,170799000000.0,0.0,22283000000.0,234386000000.0,0.0,365725000000.0,55888000000.0,20748000000.0,0.0,7543000000.0,32687000000.0,116866000000.0,93735000000.0,2797000000.0,426000000.0,44754000000.0,141712000000.0,0.0,0.0,258578000000.0,0.0,40201000000.0,70400000000.0,-3454000000.0,0.0,107147000000.0,107147000000.0,365725000000.0,0.0,365725000000.0,211187000000.0,114483000000.0,88570000000.0,-32590000000,5340000000,34694000000,-5322000000,9175000000,-44000000,-444000000,77434000000,-13313000000,-721000000,-73227000000,104072000000,-745000000,16066000000,-6500000000,669000000,-72738000000,-13712000000,4405000000,-87876000000,0,5624000000,25913000000,20289000000,77434000000,-13313000000,64121000000,9.815760051425716,9.815760051425716,3.959898500461647,17.666917105879477,5.42085927135422,16.40225888913322,13.582266733348543,13.582266733348543,6.099613989471128,3.959898500461647,0.013037576069411892,13.099961425339606,9.815760051425716,53.06,54.37,737287959540.0,0.18342180705869443,0.29297149497573316,2.4133013523477094,0.7070285050242668,20.745987654320988,0.38343718820007905,0.26694026619477024,55.56011834209077,0.16277530931710985,1.0618608086031647,0.0151,0.022,8.782570164796237,7.6045559182780424,Technology
1,AAPL,,320193,,,2017,,229234000000,141048000000,88186000000,0.38469860491899105,11581000000,0,0,15261000000,0,26842000000,167890000000,5201000000.0,2323000000,10157000000,76569000000,0.33402113124580124,61344000000,0.2676042820872994,2745000000,64089000000,0.27957894553164014,15738000000,48351000000,0.21092420845075338,2.3175,2.3025,20868968000,21006768000,,,Consumer Electronics,,20289000000.0,53892000000.0,74181000000.0,35673000000.0,4855000000.0,13936000000.0,128645000000.0,33783000000.0,5717000000.0,2298000000.0,8015000000.0,194714000000.0,0.0,10162000000.0,246674000000.0,0.0,375319000000.0,49049000000.0,18473000000.0,0.0,7548000000.0,25744000000.0,100814000000.0,97207000000.0,2836000000.0,31504000000.0,8911000000.0,140458000000.0,0.0,0.0,241272000000.0,0.0,35867000000.0,98330000000.0,-150000000.0,0.0,134047000000.0,134047000000.0,375319000000.0,0.0,375319000000.0,248606000000.0,115680000000.0,95391000000.0,5966000000,4840000000,-5550000000,-2093000000,9618000000,-626000000,-166000000,63598000000,-12451000000,-329000000,-159881000000,126339000000,-124000000,-46446000000,-3500000000,555000000,-32900000000,-12769000000,31267000000,-17347000000,0,-195000000,20289000000,20484000000,63598000000,-12795000000,50803000000,6.488907566008121,6.488907566008121,3.794457159499422,17.989671206400914,6.425980433380988,17.12140213177746,13.676823052622574,13.676823052622574,6.539267261272266,3.794457159499422,0.014680072500278113,12.605748964994847,6.488907566008121,,,,,0.3571548469435334,1.7999060031183092,0.6428451530564666,25.34997847610848,0.38469860491899105,0.2676042820872994,36.07018433832909,0.12882641166580963,,0.025699999999999997,0.0326,,,Technology
2,AAPL,,320193,,,2016,,215639000000,131376000000,84263000000,0.3907595564809705,10045000000,0,0,14194000000,0,24239000000,155615000000,3999000000.0,1456000000,10505000000,73333000000,0.34007299236223504,60024000000,0.27835410106706115,1348000000,61372000000,0.284605289395703,15685000000,45687000000,0.211867983064288,2.0875,2.0775,21883280000,22001124000,,,Consumer Electronics,,20484000000.0,46671000000.0,67155000000.0,29299000000.0,2132000000.0,8283000000.0,106869000000.0,27010000000.0,5414000000.0,3206000000.0,8620000000.0,170430000000.0,0.0,8757000000.0,214817000000.0,0.0,321686000000.0,37294000000.0,11605000000.0,0.0,8080000000.0,22027000000.0,79006000000.0,75427000000.0,2930000000.0,26019000000.0,10055000000.0,114431000000.0,0.0,0.0,193437000000.0,0.0,31251000000.0,96364000000.0,634000000.0,0.0,128249000000.0,128249000000.0,321686000000.0,0.0,321686000000.0,217101000000.0,87032000000.0,66548000000.0,4938000000,4210000000,484000000,1095000000,1791000000,-1554000000,0,65824000000,-12734000000,-297000000,-143816000000,111794000000,-924000000,-45977000000,-2500000000,495000000,-29722000000,-12150000000,23394000000,-20483000000,0,-636000000,20484000000,21120000000,65824000000,-13548000000,52276000000,5.018690061936638,5.018690061936638,2.984812495667815,14.088077171915685,7.359944025393358,12.31238009322274,9.77822650937822,9.77822650937822,5.369934984839823,2.984812495667815,0.018876953872559415,9.684452862330902,5.018690061936638,,,,,0.39867759243485884,1.5082924623193943,0.6013224075651412,39.404532967032964,0.3907595564809705,0.27835410106706115,35.62366958026963,0.14202358821956815,,0.0165,0.0234,,,Technology
3,AAPL,,320193,,,2015,,233715000000,140089000000,93626000000,0.4005990201741437,8067000000,0,0,14329000000,0,22396000000,162485000000,2921000000.0,733000000,11257000000,84505000000,0.3615728558286802,71230000000,0.3047729071732666,1285000000,72515000000,0.31027105662880006,19121000000,53394000000,0.22845773698735639,2.32,2.305,23013684000,23172276000,,,Consumer Electronics,,21120000000.0,20481000000.0,41601000000.0,30343000000.0,2349000000.0,15085000000.0,89378000000.0,22471000000.0,5116000000.0,3893000000.0,9009000000.0,164065000000.0,0.0,5556000000.0,201101000000.0,0.0,290479000000.0,35490000000.0,10999000000.0,0.0,8940000000.0,25181000000.0,80610000000.0,53463000000.0,3624000000.0,24062000000.0,9365000000.0,90514000000.0,0.0,0.0,171124000000.0,0.0,27416000000.0,92284000000.0,-345000000.0,0.0,119355000000.0,119355000000.0,290479000000.0,0.0,290479000000.0,184546000000.0,64462000000.0,43342000000.0,1382000000,3586000000,11647000000,611000000,5400000000,1042000000,0,81266000000,-11247000000,-343000000,-166402000000,121985000000,-267000000,-56274000000,0,543000000,-35253000000,-11561000000,28555000000,-17716000000,0,7276000000,21120000000,13844000000,81266000000,-11488000000,69778000000,5.5569885298135375,5.5569885298135375,2.837876755774746,12.42188946278411,7.702435487591866,9.505207457592576,8.161523465851584,8.161523465851584,4.979419253791839,2.837876755774746,0.017430718278031162,8.36159240253115,5.5569885298135375,,,,,0.41089028811032813,1.433739684135562,0.5891097118896719,94.94406548431105,0.4005990201741437,0.3047729071732666,44.735453060198566,0.1838136319665105,,0.0084,0.0153,,,Technology
4,AAPL,,320193,,,2014,,182795000000,112258000000,70537000000,0.3858803577778386,6041000000,0,0,11993000000,0,18034000000,130292000000,1795000000.0,384000000,7946000000,61813000000,0.3381547635329194,52503000000,0.28722339232473537,980000000,53483000000,0.29258458929401787,13973000000,39510000000,0.21614376760852322,1.6225,1.6125,24342288000,24490652000,,,Consumer Electronics,,13844000000.0,11233000000.0,25077000000.0,27219000000.0,2111000000.0,14124000000.0,68531000000.0,20624000000.0,4616000000.0,4142000000.0,8758000000.0,130162000000.0,0.0,3764000000.0,163308000000.0,0.0,231839000000.0,30196000000.0,6308000000.0,1209000000.0,8491000000.0,17244000000.0,63448000000.0,28987000000.0,3031000000.0,20259000000.0,4567000000.0,56844000000.0,0.0,0.0,120292000000.0,0.0,23313000000.0,87152000000.0,1082000000.0,0.0,111547000000.0,111547000000.0,231839000000.0,0.0,231839000000.0,141395000000.0,35295000000.0,21451000000.0,2347000000,2863000000,7047000000,-4232000000,5938000000,1460000000,0,59713000000,-9571000000,-3765000000,-217128000000,208111000000,-226000000,-22579000000,0,730000000,-45000000000,-11126000000,17847000000,-37549000000,0,-415000000,13844000000,14259000000,59713000000,-9813000000,49900000000,5.734394271369536,5.734394271369536,3.4992996405178345,16.189685593228486,6.715713288511702,12.818727009788727,10.712147736480457,10.712147736480457,6.864433459438412,3.4992996405178345,0.01739376551926448,10.69524983075498,5.734394271369536,,,,,0.4811399290024543,1.0783974468161404,0.5188600709975457,134.60416666666666,0.3858803577778386,0.28722339232473537,35.42004715501089,0.17041998973425523,,0.0063,0.0132,,,Technology
5,AAPL,,320193,,,2013,,170910000000,106606000000,64304000000,0.3762448072084723,4475000000,0,0,10830000000,0,15305000000,121911000000,1616000000.0,136000000,6757000000,57048000000,0.3337897138845006,48999000000,0.2866947516236616,1156000000,50155000000,0.293458545433269,13118000000,37037000000,0.21670469837926393,1.429643,1.419643,25909268000,26086536000,,,Consumer Electronics,,14259000000.0,26287000000.0,40546000000.0,20641000000.0,1764000000.0,10335000000.0,73286000000.0,16597000000.0,1577000000.0,4179000000.0,5756000000.0,106215000000.0,0.0,5146000000.0,133714000000.0,0.0,207000000000.0,22367000000.0,0.0,1200000000.0,7435000000.0,12656000000.0,43658000000.0,16960000000.0,2625000000.0,16489000000.0,3719000000.0,39793000000.0,0.0,0.0,83451000000.0,0.0,19764000000.0,104256000000.0,-471000000.0,0.0,123549000000.0,123549000000.0,207000000000.0,0.0,207000000000.0,132502000000.0,16960000000.0,2701000000.0,1141000000,2253000000,6478000000,-2172000000,2340000000,1459000000,0,53666000000,-8165000000,-496000000,-148489000000,124447000000,-1071000000,-33774000000,0,530000000,-22860000000,-10564000000,16515000000,-16379000000,0,3513000000,14259000000,10746000000,53666000000,-9076000000,44590000000,3.9685824659990874,3.9685824659990874,2.8688455625283553,13.238501905978378,8.280122087108182,10.996061787210614,9.136406571977066,9.136406571977066,5.97446297400332,2.8688455625283553,0.021545359682992447,8.642115325545527,3.9685824659990874,,,,,0.5968550724637681,0.6754486074351067,0.4031449275362319,356.90441176470586,0.3762448072084723,0.2866947516236616,29.977579745687944,0.17892270531400967,,0.002,0.0089,,,Technology
6,AMGN,,318154,,,2018,,23747000000,4101000000,19646000000,0.8273045016212575,3737000000,5332000000,0,5332000000,314000000,9383000000,13484000000,674000000.0,1392000000,1946000000,12883000000,0.5425106329220533,10263000000,0.4321809070619447,-718000000,9545000000,0.4019455089063882,1151000000,8394000000,0.3534762285762412,12.7,12.62,661000000,665000000,,,Drug Manufacturers—General,,6945000000.0,22359000000.0,29304000000.0,3580000000.0,2940000000.0,1794000000.0,37618000000.0,4958000000.0,14699000000.0,7443000000.0,22142000000.0,0.0,0.0,1698000000.0,28798000000.0,0.0,66416000000.0,1207000000.0,4419000000.0,0.0,0.0,7862000000.0,13488000000.0,29510000000.0,0.0,864000000.0,10054000000.0,40428000000.0,0.0,0.0,53916000000.0,0.0,31246000000.0,-17977000000.0,-769000000.0,0.0,12500000000.0,12500000000.0,66416000000.0,0.0,66416000000.0,0.0,33929000000.0,26984000000.0,-363000000,311000000,622000000,-378000000,-143000000,1507000000,386000000,11296000000,-738000000,195000000,-18741000000,33768000000,-145000000,14339000000,-1121000000,0,-17794000000,-3507000000,-68000000,-22490000000,0,3145000000,6945000000,3800000000,11296000000,-738000000,10558000000,9.775396831728001,9.775396831728001,5.145595670888955,14.557119418227305,6.633240223463687,11.57344766021974,10.817321210747167,10.817321210747167,1.3246497708491531,5.145595670888955,0.02870062513364026,11.579326274672049,9.775396831728001,184.86,195.37,121084739999.0,0.12058669460450498,0.1882076608046254,4.31328,0.8117923391953746,6.372844827586207,0.8273045016212575,0.4321809070619447,67.152,0.12638520838352205,1.1848098420361437,0.0151,0.0274,9.797723915344939,7.658497908016714,Healthcare
7,AMGN,,318154,,,2017,,22849000000,4069000000,18780000000,0.821917808219178,3562000000,4870000000,0,4870000000,375000000,8807000000,12876000000,928000000.0,1304000000,1955000000,12856000000,0.5626504442207536,9973000000,0.436474243949407,-376000000,9597000000,0.42001838154842663,7618000000,1979000000,0.08661210556260668,2.71,2.69,731000000,735000000,,,Drug Manufacturers—General,,3800000000.0,37878000000.0,41678000000.0,3237000000.0,2834000000.0,1727000000.0,49476000000.0,4989000000.0,14761000000.0,8609000000.0,23370000000.0,0.0,0.0,2119000000.0,30478000000.0,0.0,79954000000.0,1352000000.0,1152000000.0,0.0,0.0,6516000000.0,9020000000.0,34190000000.0,0.0,1166000000.0,10337000000.0,45693000000.0,0.0,0.0,54713000000.0,0.0,30992000000.0,-5072000000.0,-679000000.0,0.0,25241000000.0,25241000000.0,79954000000.0,0.0,79954000000.0,0.0,35342000000.0,31542000000.0,-1330000000,329000000,7910000000,-58000000,424000000,6888000000,334000000,11177000000,-664000000,-19000000,-33607000000,30414000000,-148000000,-4024000000,-4405000000,0,-3160000000,-3365000000,4336000000,-6594000000,0,559000000,3800000000,3241000000,11177000000,-664000000,10513000000,5.539335729301533,5.539335729301533,6.11923380206136,70.65102230586155,7.058696323756565,13.299569403909446,12.509472411496823,12.509472411496823,7.109842690746804,6.11923380206136,0.024066937158188844,13.32921384126478,5.539335729301533,,,,,0.31569402406383673,2.1676241036409016,0.6843059759361633,6.648006134969325,0.821917808219178,0.436474243949407,7.840418366942672,0.024751732246041474,,0.025699999999999997,0.034199999999999994,,,Healthcare
8,AMGN,,318154,,,2016,,22991000000,4162000000,18829000000,0.8189726414684007,3840000000,5062000000,0,5062000000,133000000,9035000000,13197000000,629000000.0,1260000000,2105000000,12528000000,0.5449088773868035,9794000000,0.4259927797833935,-631000000,9163000000,0.39854725762254795,1441000000,7722000000,0.33587055804445215,10.32,10.24,748000000,754000000,,,Drug Manufacturers—General,,3241000000.0,34844000000.0,38085000000.0,3165000000.0,2745000000.0,2015000000.0,46010000000.0,4961000000.0,14751000000.0,10279000000.0,25030000000.0,0.0,0.0,1625000000.0,31616000000.0,0.0,77626000000.0,917000000.0,4403000000.0,0.0,0.0,5884000000.0,11204000000.0,30193000000.0,0.0,2436000000.0,3918000000.0,36547000000.0,0.0,0.0,47751000000.0,0.0,30784000000.0,-438000000.0,-471000000.0,0.0,29875000000.0,29875000000.0,77626000000.0,0.0,77626000000.0,0.0,34596000000.0,31355000000.0,183000000,311000000,1000000,-214000000,-44000000,640000000,32000000,10354000000,-837000000,0,-28094000000,20417000000,-144000000,-8658000000,-3725000000,55000000,-2965000000,-2998000000,7034000000,-2599000000,0,-903000000,3241000000,4144000000,10354000000,-837000000,9517000000,3.8665651728736408,3.8665651728736408,5.024297966143274,14.959030631908833,7.264139020537125,12.137610017820743,11.156425974463977,11.156425974463977,1.5403847622064712,5.024297966143274,0.02595364618167421,11.723230726340997,3.8665651728736408,,,,,0.3848581660783758,1.5983598326359834,0.6151418339216242,6.773015873015873,0.8189726414684007,0.4259927797833935,25.847698744769875,0.0994769793625847,,0.0165,0.025,,,Healthcare
9,AMGN,,318154,,,2015,,21662000000,4227000000,17435000000,0.8048656633736497,4070000000,4846000000,0,4846000000,49000000,8965000000,13192000000,603000000.0,1095000000,2108000000,11181000000,0.516157326193334,8470000000,0.39100729387868155,-492000000,7978000000,0.3682947096297664,1039000000,6939000000,0.3203305327301265,9.15,9.06,758000000,766000000,,,Drug Manufacturers—General,,4144000000.0,27238000000.0,31382000000.0,2995000000.0,2435000000.0,1706000000.0,38518000000.0,4907000000.0,14787000000.0,11641000000.0,26428000000.0,0.0,0.0,1723000000.0,33058000000.0,0.0,71576000000.0,965000000.0,2250000000.0,0.0,0.0,5452000000.0,8667000000.0,29306000000.0,0.0,2239000000.0,3281000000.0,34826000000.0,0.0,0.0,43493000000.0,0.0,30649000000.0,-2086000000.0,-480000000.0,0.0,28083000000.0,28083000000.0,71576000000.0,0.0,71576000000.0,0.0,31556000000.0,27412000000.0,-607000000,322000000,714000000,-420000000,-12000000,156000000,-399000000,9077000000,-649000000,-359000000,-25977000000,21556000000,-118000000,-5547000000,-2400000000,82000000,-1867000000,-2396000000,3464000000,-3117000000,0,413000000,4144000000,3731000000,9077000000,-649000000,8428000000,4.122399200249261,4.122399200249261,5.344351248296555,16.683864640524572,7.232721202003339,13.736276309990506,12.754140877007822,12.754140877007822,1.740964950098792,5.344351248296555,0.02069632657020941,12.80577200076916,4.122399200249261,,,,,0.39235218508997427,1.5487305487305487,0.6076478149100257,6.735159817351598,0.8048656633736497,0.39100729387868155,24.708898621942097,0.09694590365485638,,0.0084,0.0169,,,Healthcare
