,Unnamed: 0,ticker,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,industry,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,receivablesTurnover,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,price,dcf,marketCap,eff_tax_rate,equity_ratio,debt_to_equity,debt_to_assets,interest_coverage,gross_profit_margin,operating_margin,return_on_equity,return_on_assets,Beta,RF_rate,cost_of_debt,cost_of_equity,wacc,sector
0,0,AAPL,,320193.0,,,2018.0,,265595000000.0,163756000000.0,101839000000.0,0.383437188200079,14236000000.0,0.0,0.0,16705000000.0,0.0,30941000000.0,194697000000.0,5686000000.0,3240000000.0,10903000000.0,87046000000.0,0.327739603531693,70898000000.0,0.2669402661947702,2005000000.0,72903000000.0,0.2744893540917562,13372000000.0,59531000000.0,0.2241420207458724,3.0025,2.9775,19821508000.0,20000436000.0,,,Consumer Electronics,,25913000000.0,40388000000.0,66301000000.0,48995000000.0,3956000000.0,12087000000.0,131339000000.0,41304000000.0,0.0,0.0,0.0,170799000000.0,0.0,22283000000.0,234386000000.0,0.0,365725000000.0,55888000000.0,20748000000.0,0.0,7543000000.0,32687000000.0,116866000000.0,93735000000.0,2797000000.0,426000000.0,44754000000.0,141712000000.0,0.0,0.0,258578000000.0,0.0,40201000000.0,70400000000.0,-3454000000.0,0.0,107147000000.0,107147000000.0,365725000000.0,0.0,365725000000.0,211187000000.0,114483000000.0,88570000000.0,-32590000000.0,5340000000.0,34694000000.0,-5322000000.0,9175000000.0,-44000000.0,-444000000.0,77434000000.0,-13313000000.0,-721000000.0,-73227000000.0,104072000000.0,-745000000.0,16066000000.0,-6500000000.0,669000000.0,-72738000000.0,-13712000000.0,4405000000.0,-87876000000.0,0.0,5624000000.0,25913000000.0,20289000000.0,77434000000.0,-13313000000.0,64121000000.0,9.815760051425716,9.815760051425716,3.959898500461647,17.666917105879477,5.42085927135422,16.40225888913322,13.582266733348543,13.582266733348543,6.099613989471128,3.959898500461647,0.0130375760694118,13.099961425339606,9.815760051425716,53.06,54.37,737287959540.0,0.1834218070586944,0.2929714949757331,2.4133013523477094,0.7070285050242668,20.745987654320988,0.383437188200079,0.2669402661947702,55.56011834209077,0.1627753093171098,1.061860808603165,0.0151,0.022,8.782570164796237,7.604555918278042,Technology
1,1,AAPL,,320193.0,,,2017.0,,229234000000.0,141048000000.0,88186000000.0,0.384698604918991,11581000000.0,0.0,0.0,15261000000.0,0.0,26842000000.0,167890000000.0,5201000000.0,2323000000.0,10157000000.0,76569000000.0,0.3340211312458012,61344000000.0,0.2676042820872994,2745000000.0,64089000000.0,0.2795789455316401,15738000000.0,48351000000.0,0.2109242084507533,2.3175,2.3025,20868968000.0,21006768000.0,,,Consumer Electronics,,20289000000.0,53892000000.0,74181000000.0,35673000000.0,4855000000.0,13936000000.0,128645000000.0,33783000000.0,5717000000.0,2298000000.0,8015000000.0,194714000000.0,0.0,10162000000.0,246674000000.0,0.0,375319000000.0,49049000000.0,18473000000.0,0.0,7548000000.0,25744000000.0,100814000000.0,97207000000.0,2836000000.0,31504000000.0,8911000000.0,140458000000.0,0.0,0.0,241272000000.0,0.0,35867000000.0,98330000000.0,-150000000.0,0.0,134047000000.0,134047000000.0,375319000000.0,0.0,375319000000.0,248606000000.0,115680000000.0,95391000000.0,5966000000.0,4840000000.0,-5550000000.0,-2093000000.0,9618000000.0,-626000000.0,-166000000.0,63598000000.0,-12451000000.0,-329000000.0,-159881000000.0,126339000000.0,-124000000.0,-46446000000.0,-3500000000.0,555000000.0,-32900000000.0,-12769000000.0,31267000000.0,-17347000000.0,0.0,-195000000.0,20289000000.0,20484000000.0,63598000000.0,-12795000000.0,50803000000.0,6.488907566008121,6.488907566008121,3.794457159499422,17.989671206400914,6.425980433380988,17.12140213177746,13.676823052622574,13.676823052622574,6.539267261272266,3.794457159499422,0.0146800725002781,12.605748964994849,6.488907566008121,,,,,0.3571548469435334,1.7999060031183092,0.6428451530564666,25.34997847610848,0.384698604918991,0.2676042820872994,36.07018433832909,0.1288264116658096,,0.0256999999999999,0.0326,,,Technology
2,2,AAPL,,320193.0,,,2016.0,,215639000000.0,131376000000.0,84263000000.0,0.3907595564809705,10045000000.0,0.0,0.0,14194000000.0,0.0,24239000000.0,155615000000.0,3999000000.0,1456000000.0,10505000000.0,73333000000.0,0.340072992362235,60024000000.0,0.2783541010670611,1348000000.0,61372000000.0,0.284605289395703,15685000000.0,45687000000.0,0.211867983064288,2.0875,2.0775,21883280000.0,22001124000.0,,,Consumer Electronics,,20484000000.0,46671000000.0,67155000000.0,29299000000.0,2132000000.0,8283000000.0,106869000000.0,27010000000.0,5414000000.0,3206000000.0,8620000000.0,170430000000.0,0.0,8757000000.0,214817000000.0,0.0,321686000000.0,37294000000.0,11605000000.0,0.0,8080000000.0,22027000000.0,79006000000.0,75427000000.0,2930000000.0,26019000000.0,10055000000.0,114431000000.0,0.0,0.0,193437000000.0,0.0,31251000000.0,96364000000.0,634000000.0,0.0,128249000000.0,128249000000.0,321686000000.0,0.0,321686000000.0,217101000000.0,87032000000.0,66548000000.0,4938000000.0,4210000000.0,484000000.0,1095000000.0,1791000000.0,-1554000000.0,0.0,65824000000.0,-12734000000.0,-297000000.0,-143816000000.0,111794000000.0,-924000000.0,-45977000000.0,-2500000000.0,495000000.0,-29722000000.0,-12150000000.0,23394000000.0,-20483000000.0,0.0,-636000000.0,20484000000.0,21120000000.0,65824000000.0,-13548000000.0,52276000000.0,5.018690061936638,5.018690061936638,2.984812495667815,14.088077171915684,7.359944025393358,12.31238009322274,9.77822650937822,9.77822650937822,5.369934984839823,2.984812495667815,0.0188769538725594,9.684452862330902,5.018690061936638,,,,,0.3986775924348588,1.5082924623193943,0.6013224075651412,39.40453296703296,0.3907595564809705,0.2783541010670611,35.62366958026963,0.1420235882195681,,0.0165,0.0234,,,Technology
3,3,AAPL,,320193.0,,,2015.0,,233715000000.0,140089000000.0,93626000000.0,0.4005990201741437,8067000000.0,0.0,0.0,14329000000.0,0.0,22396000000.0,162485000000.0,2921000000.0,733000000.0,11257000000.0,84505000000.0,0.3615728558286802,71230000000.0,0.3047729071732666,1285000000.0,72515000000.0,0.3102710566288,19121000000.0,53394000000.0,0.2284577369873563,2.32,2.305,23013684000.0,23172276000.0,,,Consumer Electronics,,21120000000.0,20481000000.0,41601000000.0,30343000000.0,2349000000.0,15085000000.0,89378000000.0,22471000000.0,5116000000.0,3893000000.0,9009000000.0,164065000000.0,0.0,5556000000.0,201101000000.0,0.0,290479000000.0,35490000000.0,10999000000.0,0.0,8940000000.0,25181000000.0,80610000000.0,53463000000.0,3624000000.0,24062000000.0,9365000000.0,90514000000.0,0.0,0.0,171124000000.0,0.0,27416000000.0,92284000000.0,-345000000.0,0.0,119355000000.0,119355000000.0,290479000000.0,0.0,290479000000.0,184546000000.0,64462000000.0,43342000000.0,1382000000.0,3586000000.0,11647000000.0,611000000.0,5400000000.0,1042000000.0,0.0,81266000000.0,-11247000000.0,-343000000.0,-166402000000.0,121985000000.0,-267000000.0,-56274000000.0,0.0,543000000.0,-35253000000.0,-11561000000.0,28555000000.0,-17716000000.0,0.0,7276000000.0,21120000000.0,13844000000.0,81266000000.0,-11488000000.0,69778000000.0,5.5569885298135375,5.5569885298135375,2.837876755774746,12.42188946278411,7.702435487591866,9.505207457592576,8.161523465851584,8.161523465851584,4.979419253791839,2.837876755774746,0.0174307182780311,8.36159240253115,5.5569885298135375,,,,,0.4108902881103281,1.433739684135562,0.5891097118896719,94.94406548431104,0.4005990201741437,0.3047729071732666,44.735453060198566,0.1838136319665105,,0.0084,0.0153,,,Technology
4,4,AAPL,,320193.0,,,2014.0,,182795000000.0,112258000000.0,70537000000.0,0.3858803577778386,6041000000.0,0.0,0.0,11993000000.0,0.0,18034000000.0,130292000000.0,1795000000.0,384000000.0,7946000000.0,61813000000.0,0.3381547635329194,52503000000.0,0.2872233923247353,980000000.0,53483000000.0,0.2925845892940178,13973000000.0,39510000000.0,0.2161437676085232,1.6225,1.6125,24342288000.0,24490652000.0,,,Consumer Electronics,,13844000000.0,11233000000.0,25077000000.0,27219000000.0,2111000000.0,14124000000.0,68531000000.0,20624000000.0,4616000000.0,4142000000.0,8758000000.0,130162000000.0,0.0,3764000000.0,163308000000.0,0.0,231839000000.0,30196000000.0,6308000000.0,1209000000.0,8491000000.0,17244000000.0,63448000000.0,28987000000.0,3031000000.0,20259000000.0,4567000000.0,56844000000.0,0.0,0.0,120292000000.0,0.0,23313000000.0,87152000000.0,1082000000.0,0.0,111547000000.0,111547000000.0,231839000000.0,0.0,231839000000.0,141395000000.0,35295000000.0,21451000000.0,2347000000.0,2863000000.0,7047000000.0,-4232000000.0,5938000000.0,1460000000.0,0.0,59713000000.0,-9571000000.0,-3765000000.0,-217128000000.0,208111000000.0,-226000000.0,-22579000000.0,0.0,730000000.0,-45000000000.0,-11126000000.0,17847000000.0,-37549000000.0,0.0,-415000000.0,13844000000.0,14259000000.0,59713000000.0,-9813000000.0,49900000000.0,5.734394271369536,5.734394271369536,3.4992996405178345,16.189685593228486,6.715713288511702,12.818727009788727,10.712147736480455,10.712147736480455,6.864433459438412,3.4992996405178345,0.0173937655192644,10.69524983075498,5.734394271369536,,,,,0.4811399290024543,1.0783974468161404,0.5188600709975457,134.60416666666666,0.3858803577778386,0.2872233923247353,35.42004715501089,0.1704199897342552,,0.0063,0.0132,,,Technology
5,5,AAPL,,320193.0,,,2013.0,,170910000000.0,106606000000.0,64304000000.0,0.3762448072084723,4475000000.0,0.0,0.0,10830000000.0,0.0,15305000000.0,121911000000.0,1616000000.0,136000000.0,6757000000.0,57048000000.0,0.3337897138845006,48999000000.0,0.2866947516236616,1156000000.0,50155000000.0,0.293458545433269,13118000000.0,37037000000.0,0.2167046983792639,1.429643,1.419643,25909268000.0,26086536000.0,,,Consumer Electronics,,14259000000.0,26287000000.0,40546000000.0,20641000000.0,1764000000.0,10335000000.0,73286000000.0,16597000000.0,1577000000.0,4179000000.0,5756000000.0,106215000000.0,0.0,5146000000.0,133714000000.0,0.0,207000000000.0,22367000000.0,0.0,1200000000.0,7435000000.0,12656000000.0,43658000000.0,16960000000.0,2625000000.0,16489000000.0,3719000000.0,39793000000.0,0.0,0.0,83451000000.0,0.0,19764000000.0,104256000000.0,-471000000.0,0.0,123549000000.0,123549000000.0,207000000000.0,0.0,207000000000.0,132502000000.0,16960000000.0,2701000000.0,1141000000.0,2253000000.0,6478000000.0,-2172000000.0,2340000000.0,1459000000.0,0.0,53666000000.0,-8165000000.0,-496000000.0,-148489000000.0,124447000000.0,-1071000000.0,-33774000000.0,0.0,530000000.0,-22860000000.0,-10564000000.0,16515000000.0,-16379000000.0,0.0,3513000000.0,14259000000.0,10746000000.0,53666000000.0,-9076000000.0,44590000000.0,3.968582465999088,3.968582465999088,2.8688455625283558,13.238501905978378,8.280122087108182,10.996061787210614,9.136406571977066,9.136406571977066,5.97446297400332,2.8688455625283558,0.0215453596829924,8.642115325545527,3.968582465999088,,,,,0.5968550724637681,0.6754486074351067,0.4031449275362319,356.90441176470586,0.3762448072084723,0.2866947516236616,29.977579745687944,0.1789227053140096,,0.002,0.0089,,,Technology
6,6,AMGN,,318154.0,,,2018.0,,23747000000.0,4101000000.0,19646000000.0,0.8273045016212575,3737000000.0,5332000000.0,0.0,5332000000.0,314000000.0,9383000000.0,13484000000.0,674000000.0,1392000000.0,1946000000.0,12883000000.0,0.5425106329220533,10263000000.0,0.4321809070619447,-718000000.0,9545000000.0,0.4019455089063882,1151000000.0,8394000000.0,0.3534762285762412,12.7,12.62,661000000.0,665000000.0,,,Drug Manufacturers—General,,6945000000.0,22359000000.0,29304000000.0,3580000000.0,2940000000.0,1794000000.0,37618000000.0,4958000000.0,14699000000.0,7443000000.0,22142000000.0,0.0,0.0,1698000000.0,28798000000.0,0.0,66416000000.0,1207000000.0,4419000000.0,0.0,0.0,7862000000.0,13488000000.0,29510000000.0,0.0,864000000.0,10054000000.0,40428000000.0,0.0,0.0,53916000000.0,0.0,31246000000.0,-17977000000.0,-769000000.0,0.0,12500000000.0,12500000000.0,66416000000.0,0.0,66416000000.0,0.0,33929000000.0,26984000000.0,-363000000.0,311000000.0,622000000.0,-378000000.0,-143000000.0,1507000000.0,386000000.0,11296000000.0,-738000000.0,195000000.0,-18741000000.0,33768000000.0,-145000000.0,14339000000.0,-1121000000.0,0.0,-17794000000.0,-3507000000.0,-68000000.0,-22490000000.0,0.0,3145000000.0,6945000000.0,3800000000.0,11296000000.0,-738000000.0,10558000000.0,9.775396831728,9.775396831728,5.145595670888955,14.557119418227304,6.633240223463687,11.57344766021974,10.817321210747169,10.817321210747169,1.3246497708491531,5.145595670888955,0.0287006251336402,11.579326274672049,9.775396831728,184.86,195.37,121084739999.0,0.1205866946045049,0.1882076608046254,4.31328,0.8117923391953746,6.372844827586207,0.8273045016212575,0.4321809070619447,67.152,0.126385208383522,1.1848098420361437,0.0151,0.0274,9.79772391534494,7.658497908016714,Healthcare
7,7,AMGN,,318154.0,,,2017.0,,22849000000.0,4069000000.0,18780000000.0,0.821917808219178,3562000000.0,4870000000.0,0.0,4870000000.0,375000000.0,8807000000.0,12876000000.0,928000000.0,1304000000.0,1955000000.0,12856000000.0,0.5626504442207536,9973000000.0,0.436474243949407,-376000000.0,9597000000.0,0.4200183815484266,7618000000.0,1979000000.0,0.0866121055626066,2.71,2.69,731000000.0,735000000.0,,,Drug Manufacturers—General,,3800000000.0,37878000000.0,41678000000.0,3237000000.0,2834000000.0,1727000000.0,49476000000.0,4989000000.0,14761000000.0,8609000000.0,23370000000.0,0.0,0.0,2119000000.0,30478000000.0,0.0,79954000000.0,1352000000.0,1152000000.0,0.0,0.0,6516000000.0,9020000000.0,34190000000.0,0.0,1166000000.0,10337000000.0,45693000000.0,0.0,0.0,54713000000.0,0.0,30992000000.0,-5072000000.0,-679000000.0,0.0,25241000000.0,25241000000.0,79954000000.0,0.0,79954000000.0,0.0,35342000000.0,31542000000.0,-1330000000.0,329000000.0,7910000000.0,-58000000.0,424000000.0,6888000000.0,334000000.0,11177000000.0,-664000000.0,-19000000.0,-33607000000.0,30414000000.0,-148000000.0,-4024000000.0,-4405000000.0,0.0,-3160000000.0,-3365000000.0,4336000000.0,-6594000000.0,0.0,559000000.0,3800000000.0,3241000000.0,11177000000.0,-664000000.0,10513000000.0,5.539335729301533,5.539335729301533,6.11923380206136,70.65102230586155,7.058696323756565,13.299569403909446,12.509472411496825,12.509472411496825,7.109842690746804,6.11923380206136,0.0240669371581888,13.32921384126478,5.539335729301533,,,,,0.3156940240638367,2.1676241036409016,0.6843059759361633,6.648006134969325,0.821917808219178,0.436474243949407,7.840418366942672,0.0247517322460414,,0.0256999999999999,0.0341999999999999,,,Healthcare
8,8,AMGN,,318154.0,,,2016.0,,22991000000.0,4162000000.0,18829000000.0,0.8189726414684007,3840000000.0,5062000000.0,0.0,5062000000.0,133000000.0,9035000000.0,13197000000.0,629000000.0,1260000000.0,2105000000.0,12528000000.0,0.5449088773868035,9794000000.0,0.4259927797833935,-631000000.0,9163000000.0,0.3985472576225479,1441000000.0,7722000000.0,0.3358705580444521,10.32,10.24,748000000.0,754000000.0,,,Drug Manufacturers—General,,3241000000.0,34844000000.0,38085000000.0,3165000000.0,2745000000.0,2015000000.0,46010000000.0,4961000000.0,14751000000.0,10279000000.0,25030000000.0,0.0,0.0,1625000000.0,31616000000.0,0.0,77626000000.0,917000000.0,4403000000.0,0.0,0.0,5884000000.0,11204000000.0,30193000000.0,0.0,2436000000.0,3918000000.0,36547000000.0,0.0,0.0,47751000000.0,0.0,30784000000.0,-438000000.0,-471000000.0,0.0,29875000000.0,29875000000.0,77626000000.0,0.0,77626000000.0,0.0,34596000000.0,31355000000.0,183000000.0,311000000.0,1000000.0,-214000000.0,-44000000.0,640000000.0,32000000.0,10354000000.0,-837000000.0,0.0,-28094000000.0,20417000000.0,-144000000.0,-8658000000.0,-3725000000.0,55000000.0,-2965000000.0,-2998000000.0,7034000000.0,-2599000000.0,0.0,-903000000.0,3241000000.0,4144000000.0,10354000000.0,-837000000.0,9517000000.0,3.8665651728736408,3.8665651728736408,5.024297966143274,14.959030631908831,7.264139020537125,12.137610017820744,11.156425974463977,11.156425974463977,1.5403847622064712,5.024297966143274,0.0259536461816742,11.723230726340995,3.8665651728736408,,,,,0.3848581660783758,1.5983598326359834,0.6151418339216242,6.773015873015873,0.8189726414684007,0.4259927797833935,25.847698744769875,0.0994769793625847,,0.0165,0.025,,,Healthcare
9,9,AMGN,,318154.0,,,2015.0,,21662000000.0,4227000000.0,17435000000.0,0.8048656633736497,4070000000.0,4846000000.0,0.0,4846000000.0,49000000.0,8965000000.0,13192000000.0,603000000.0,1095000000.0,2108000000.0,11181000000.0,0.516157326193334,8470000000.0,0.3910072938786815,-492000000.0,7978000000.0,0.3682947096297664,1039000000.0,6939000000.0,0.3203305327301265,9.15,9.06,758000000.0,766000000.0,,,Drug Manufacturers—General,,4144000000.0,27238000000.0,31382000000.0,2995000000.0,2435000000.0,1706000000.0,38518000000.0,4907000000.0,14787000000.0,11641000000.0,26428000000.0,0.0,0.0,1723000000.0,33058000000.0,0.0,71576000000.0,965000000.0,2250000000.0,0.0,0.0,5452000000.0,8667000000.0,29306000000.0,0.0,2239000000.0,3281000000.0,34826000000.0,0.0,0.0,43493000000.0,0.0,30649000000.0,-2086000000.0,-480000000.0,0.0,28083000000.0,28083000000.0,71576000000.0,0.0,71576000000.0,0.0,31556000000.0,27412000000.0,-607000000.0,322000000.0,714000000.0,-420000000.0,-12000000.0,156000000.0,-399000000.0,9077000000.0,-649000000.0,-359000000.0,-25977000000.0,21556000000.0,-118000000.0,-5547000000.0,-2400000000.0,82000000.0,-1867000000.0,-2396000000.0,3464000000.0,-3117000000.0,0.0,413000000.0,4144000000.0,3731000000.0,9077000000.0,-649000000.0,8428000000.0,4.122399200249261,4.122399200249261,5.344351248296555,16.683864640524572,7.232721202003339,13.736276309990506,12.754140877007822,12.754140877007822,1.740964950098792,5.344351248296555,0.0206963265702094,12.80577200076916,4.122399200249261,,,,,0.3923521850899742,1.5487305487305487,0.6076478149100257,6.735159817351598,0.8048656633736497,0.3910072938786815,24.708898621942097,0.0969459036548563,,0.0084,0.0169,,,Healthcare
